"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"821","MICHIGAN","IRON","26071",0.621827411167513,0.621004566210046,-0.000822844957467095,-0.663273576945823,"Within two standard deviations"
"822","MISSISSIPPI","SHARKEY","28125",0.315981735159817,0.315162620247366,-0.000819114912451346,-0.663144367772744,"Within two standard deviations"
"823","TEXAS","LAMAR","48277",0.782386760517973,0.781643503404533,-0.000743257113440143,-0.66051664520091,"Within two standard deviations"
"824","NEVADA","LANDER","32015",0.757563199336925,0.79493670886076,0.0373735095238346,0.65985237899512,"Within two standard deviations"
"825","VERMONT","RUTLAND","50021",0.421317397616395,0.420597032094789,-0.000720365521605926,-0.659723677920656,"Within two standard deviations"
"826","MISSISSIPPI","LAFAYETTE","28071",0.553479611057374,0.552832685821628,-0.000646925235745721,-0.657179698272521,"Within two standard deviations"
"827","NEBRASKA","HOOKER","31091",0.851318944844125,0.850678733031674,-0.000640211812450553,-0.656947144544929,"Within two standard deviations"
"828","COLORADO","DOLORES","08033",0.752191235059761,0.751552795031056,-0.000638440028705056,-0.65688576975946,"Within two standard deviations"
"829","FLORIDA","BAY","12005",0.711170571621328,0.710537065703474,-0.000633505917853605,-0.656714851612279,"Within two standard deviations"
"830","TEXAS","POTTER","48375",0.685141879864577,0.684524702282749,-0.000617177581828332,-0.656149236241237,"Within two standard deviations"
"831","TEXAS","LAMPASAS","48281",0.778184034125533,0.7775747668045,-0.000609267321032725,-0.655875223929878,"Within two standard deviations"
"832","CALIFORNIA","COLUSA","06011",0.53543425814234,0.57266675040824,0.0372324922659001,0.65496752553875,"Within two standard deviations"
"833","MISSISSIPPI","PERRY","28111",0.761229749631811,0.760649087221095,-0.000580662410716082,-0.654884346663676,"Within two standard deviations"
"834","FLORIDA","MARTIN","12085",0.62015106303618,0.619573364665843,-0.00057769837033772,-0.6547816719762,"Within two standard deviations"
"835","COLORADO","MINERAL","08079",0.52760736196319,0.564814814814815,0.0372074528516246,0.654100157450897,"Within two standard deviations"
"836","NEW YORK","SULLIVAN","36105",0.531831079953263,0.531282022088125,-0.000549057865138369,-0.653789561699313,"Within two standard deviations"
"837","MISSOURI","BENTON","29015",0.774591924398625,0.77405498281787,-0.000536941580756012,-0.65336985226438,"Within two standard deviations"
"838","MICHIGAN","MACKINAC","26097",0.61407249466951,0.613542409123307,-0.000530085546202486,-0.65313235846698,"Within two standard deviations"
"839","WISCONSIN","WAUKESHA","55133",0.596217401126162,0.595714115136047,-0.000503285990115176,-0.652204018871531,"Within two standard deviations"
"840","ILLINOIS","ST. CLAIR","17163",0.44664952728479,0.446167178021875,-0.000482349262915127,-0.651478768319036,"Within two standard deviations"
"841","ILLINOIS","BUREAU","17011",0.560074829521453,0.597166456349662,0.0370916268282084,0.650087931152431,"Within two standard deviations"
"842","NEW JERSEY","PASSAIC","34031",0.374236404143695,0.411292449498675,0.03705604535498,0.648855384973129,"Within two standard deviations"
"843","INDIANA","JENNINGS","18079",0.737578475336323,0.774630642396539,0.0370521670602161,0.64872104041233,"Within two standard deviations"
"844","NEW JERSEY","SALEM","34033",0.555401098528514,0.555008549024232,-0.000392549504282247,-0.648368094719477,"Within two standard deviations"
"845","TEXAS","VICTORIA","48469",0.683578061240883,0.683222183222183,-0.00035587801869974,-0.647097790391328,"Within two standard deviations"
"846","PENNSYLVANIA","BLAIR","42013",0.71272468994154,0.712414497995125,-0.00031019194641424,-0.645515219779896,"Within two standard deviations"
"847","PENNSYLVANIA","LANCASTER","42071",0.571991439662895,0.571687024289981,-0.000304415372914146,-0.64531511863312,"Within two standard deviations"
"848","SOUTH DAKOTA","BON HOMME","46009",0.707800941492939,0.744751749416861,0.0369508079239222,0.645209948688439,"Within two standard deviations"
"849","TEXAS","MASON","48319",0.805055906660185,0.804769603880356,-0.000286302779829106,-0.64468769639962,"Within two standard deviations"
"850","SOUTH DAKOTA","SPINK","46115",0.628261606235174,0.665191274106861,0.0369296678716862,0.644477654934144,"Within two standard deviations"
"851","MAINE","KENNEBEC","23011",0.478416505558241,0.47815189699098,-0.000264608567260904,-0.643936206469953,"Within two standard deviations"
"852","WEST VIRGINIA","PLEASANTS","54073",0.748571428571429,0.785448295617302,0.0368768670458731,0.642648628471355,"Within two standard deviations"
"853","TEXAS","WALLER","48473",0.627442802669209,0.627254332717516,-0.000188469951693193,-0.641298756381454,"Within two standard deviations"
"854","MINNESOTA","MILLE LACS","27095",0.640700622263194,0.677513785826128,0.0368131635629342,0.640441932756411,"Within two standard deviations"
"855","WEST VIRGINIA","OHIO","54069",0.62097223770766,0.620866418735551,-0.000105818972108485,-0.63843571728106,"Within two standard deviations"
"856","MISSISSIPPI","GEORGE","28039",0.879183095743605,0.87908408000724,-9.90157363648381e-05,-0.63820005244029,"Within two standard deviations"
"857","MISSOURI","REYNOLDS","29179",0.791968400263331,0.828684050939964,0.0367156506766325,0.637064075558872,"Within two standard deviations"
"858","WASHINGTON","FRANKLIN","53021",0.556745362563238,0.556690532033082,-5.48305301554253e-05,-0.636669471996209,"Within two standard deviations"
"859","MISSOURI","MADISON","29123",0.770907724112009,0.807610993657505,0.0367032695454963,0.636635191803008,"Within two standard deviations"
"860","ILLINOIS","MORGAN","17137",0.613243243243243,0.649944477104971,0.0367012338617277,0.636564675491469,"Within two standard deviations"
"861","COLORADO","GILPIN","08047",0.437919463087248,0.437888198757764,-3.12643294843595e-05,-0.63585313619102,"Within two standard deviations"
"862","TEXAS","HOOD","48221",0.814180184296702,0.814234350511662,5.41662149597943e-05,-0.632893812655587,"Within two standard deviations"
"863","TEXAS","MORRIS","48343",0.692941886185401,0.693037408269196,9.5522083795152e-05,-0.631461240771971,"Within two standard deviations"
"864","SOUTH DAKOTA","HUGHES","46065",0.632905198776758,0.633039092055485,0.000133893278727037,-0.630132058323429,"Within two standard deviations"
"865","HAWAII","HAWAII","15001",0.269798202475835,0.306295123784362,0.0364969213085272,0.62948726598642,"Within two standard deviations"
"866","LOUISIANA","WEST BATON ROUGE","22121",0.544918187539333,0.545080513584451,0.000162326045117678,-0.629147144141918,"Within two standard deviations"
"867","OHIO","HARRISON","39067",0.720158214437067,0.756629653821032,0.0364714393839646,0.628604569293136,"Within two standard deviations"
"868","TEXAS","TOM GREEN","48451",0.714519608097924,0.714731254147313,0.000211646049388947,-0.627438693723426,"Within two standard deviations"
"869","TEXAS","DONLEY","48129",0.83617747440273,0.872572815533981,0.0363953411312502,0.625968517378353,"Within two standard deviations"
"870","OREGON","WASHINGTON","41067",0.309016015926784,0.30928803781148,0.000272021884695217,-0.625347268091578,"Within two standard deviations"
"871","NEBRASKA","CEDAR","31027",0.799095022624434,0.83546837469976,0.0363733520753253,0.625206814042107,"Within two standard deviations"
"872","TEXAS","WALKER","48471",0.650838553243079,0.651151956632221,0.000313403389141542,-0.623913808187555,"Within two standard deviations"
"873","ILLINOIS","WILLIAMSON","17199",0.67719452467663,0.677532463673372,0.000337938996742948,-0.623063892018772,"Within two standard deviations"
"874","WEST VIRGINIA","UPSHUR","54097",0.759926231286613,0.760297426866256,0.000371195579642603,-0.621911880298335,"Within two standard deviations"
"875","MISSOURI","CHRISTIAN","29043",0.745130143748044,0.745532569013002,0.000402425264958373,-0.620830080535025,"Within two standard deviations"
"876","TEXAS","SAN PATRICIO","48409",0.6016808274843,0.637905063535592,0.0362242360512915,0.620041418429749,"Within two standard deviations"
"877","ILLINOIS","KNOX","17095",0.482713662725352,0.518904204295035,0.0361905415696834,0.618874237849479,"Within two standard deviations"
"878","TEXAS","SHELBY","48419",0.790116662998019,0.79062159214831,0.000504929150290767,-0.617279334577463,"Within two standard deviations"
"879","NEW YORK","CHAUTAUQUA","36013",0.582549692075082,0.583118621381964,0.000568929306882238,-0.615062362054289,"Within two standard deviations"
"880","MISSISSIPPI","WINSTON","28159",0.552865668280599,0.553486357730619,0.000620689450020251,-0.613269384954796,"Within two standard deviations"
"881","WISCONSIN","FOREST","55041",0.614096916299559,0.650108846229962,0.0360119299304029,0.612687110853344,"Within two standard deviations"
"882","WISCONSIN","LINCOLN","55069",0.571195430436557,0.607201309328969,0.0360058788924124,0.612477502226175,"Within two standard deviations"
"883","ILLINOIS","CLARK","17023",0.709132189707366,0.745093346098612,0.0359611563912455,0.610928309825172,"Within two standard deviations"
"884","OHIO","TRUMBULL","39155",0.510512449364255,0.546469836932308,0.035957387568053,0.610797757371748,"Within two standard deviations"
"885","CALIFORNIA","PLACER","06061",0.520337564742752,0.521039288084259,0.000701723341507421,-0.610462361965467,"Within two standard deviations"
"886","PENNSYLVANIA","CAMERON","42023",0.726898444647758,0.727608874281019,0.000710429633260512,-0.610160775053445,"Within two standard deviations"
"887","NEW YORK","CATTARAUGUS","36009",0.631943775873688,0.63267462447884,0.000730848605151269,-0.609453459602293,"Within two standard deviations"
